"skills","avg_salary"
"gdpr","217738"
"bitbucket","189155"
"golang","187500"
"selenium","180000"
"opencv","172500"
"neo4j","171655"
"dynamodb","169670"
"tidyverse","165513"
"solidity","165000"
"datarobot","162998"
"redis","162500"
"watson","161471"
"elixir","161250"
"cassandra","160850"
"atlassian","160431"
"microstrategy","158765"
"slack","158333"
"hugging face","156520"
"vue","156107"
"aurora","155000"
"dplyr","155000"
"c","154455"
"gcp","154199"
"scala","154095"
"php","153500"
